BDD_ID,Bench Label
2,41
3,832
3,1302
4,13
5,786
6,20
6,798
7,1
7,772
16,1761
16,2158
17,794
18,45
4,782
23,1337
7,874
26,1562
29,2730
30,33
31,825
31,1298
33,1833
17,895
34,169
35,1179
4,1279
43,1821
43,2212
44,2633
45,50
46,665
52,2898
32,2230
53,213
13,769
56,1452
59,1909
60,793
61,1196
63,1409
68,914
70,913
71,1202
72,1869
17,915
62,1197
80,2068
85,1870
86,1673
31,820
87,1117
17,803
88,1580
89,150
91,1788
92,1579
93,58
93,845
95,1787
6,1345
96,68
97,854
98,848
46,842
102,1338
103,1581
106,1986
113,2270
122,2648
126,3172
126,3493
131,3681
142,2652
122,3118
143,349
144,896
31,1384
145,1850
146,223
148,2023
150,1401
151,222
153,1643
30,1849
154,77
155,2022
158,2238
159,829
160,1427
163,1670
163,2052
169,2419
170,835
13,779
172,1306
175,2057
176,274
185,2418
187,1873
188,226
202,2417
216,2656
216,3112
217,200
271,3414
287,3115
288,190
342,3413
425,3557
426,179
484,3410
544,3407
673,3644
737,3721
737,3850
737,3953
839,4029
846,4042
882,4075
918,4105
900,4146
933,4189
39,2632
30,821
935,1818
937,1815
2,2211
938,2398
934,2210
939,892
939,1363
941,1803
288,886
17,883
942,1353
948,2206
948,2623
945,3055
949,116
949,753
953,3278
756,889
955,1806
959,2203
959,2614
957,3054
960,107
960,740
964,3277
965,1358
971,2200
971,2605
968,3053
972,97
972,727
976,3276
980,2197
980,2596
978,3052
981,87
981,715
985,3275
986,890
987,1366
989,1809
995,2194
995,2587
992,3051
154,706
997,3274
998,891
1000,1812
1004,2191
1004,2578
1002,3050
96,690
1006,3273
1012,2188
1012,2569
1009,3049
93,670
1014,3272
1018,2185
1018,2560
1016,3048
1019,283
1023,3271
1164,3398
1168,3538
936,2209
948,2551
945,2991
1169,125
1173,3214
959,2542
957,2990
1174,128
1178,3213
971,2533
968,2989
1179,132
1183,3212
980,2524
978,2988
1184,137
1188,3211
995,2515
992,2987
1189,143
1193,3210
1004,2506
1002,2986
1195,3209
1012,2497
1009,2985
1196,159
1200,3208
1018,2488
1016,2984
1201,124
1205,3207
1263,3390
1267,3537
1272,3634
1284,3713
1330,4251
1342,4335
12,2729
72,1884
1350,2083
1356,1885
86,1676
88,1588
1358,1794
92,1587
981,858
1360,1793
6,1348
1361,1589
1364,1988
1369,2282
1382,2677
1375,3141
145,1856
1383,238
1385,2029
150,1404
1386,232
1388,1646
30,1855
1389,2028
1392,2241
1398,2432
185,2431
187,1888
1399,244
1413,2430
1427,2681
1427,3135
1476,3438
1490,3138
1539,3437
1623,3573
1375,2673
1670,3434
1720,3431
1829,3661
1905,3740
72,1879
1913,2078
1919,1880
86,1675
88,1585
1920,1792
92,1584
1921,1791
6,1347
1922,1586
1925,1987
1931,2277
1946,2666
1939,3134
145,1854
1948,2027
150,1403
1950,1645
30,1853
1951,2026
1954,2240
1960,2427
185,2426
187,1883
1974,2425
1988,2670
1988,3128
2030,3430
2041,3131
2083,3429
2147,3568
1939,2662
2187,3426
2234,3423
2323,3657
2370,3734
72,1874
2377,2073
2383,1875
86,1674
88,1583
2385,1790
92,1582
96,851
2387,1789
6,1346
96,877
96,1496
97,1765
93,956
2389,1981
98,1339
2391,1764
2393,2178
2392,2374
2394,2486
2397,2768
2404,3119
2421,3419
2413,3653
145,1852
2423,2025
150,1402
2425,1644
30,1851
1359,2024
2428,2239
2434,2422
185,2421
187,1878
2448,2420
2462,2659
2462,3122
2513,3652
2524,3125
2575,3651
2657,3731
2413,3415
2709,3648
2767,3645
2884,3789
2949,3838
4505,3926
4505,4035
4506,343
4515,1926
145,1864
4516,264
4518,2037
150,1408
4519,257
4521,1650
30,1863
4522,303
4523,2036
4526,2245
160,1426
163,1667
163,2038
4532,2450
18,836
4533,1315
175,2043
4534,2449
4535,1908
4536,270
4547,2448
4558,2723
4572,3168
72,1904
31,916
4573,1219
4579,2103
4585,1905
86,1680
88,1599
972,864
4587,1802
92,1598
4589,1801
6,1352
4590,1600
4593,1991
4600,2299
4606,2715
4655,3466
4558,3165
4707,3463
4748,3677
72,1899
4754,2098
4760,1900
86,1679
88,1596
4762,1800
92,1595
4763,1799
6,1351
1136,870
4764,1597
4767,1990
4774,2294
4791,2706
4782,3164
145,1862
4793,2035
150,1407
4794,250
4796,1649
30,1861
4797,294
4798,2034
4801,2244
4807,2445
4534,2444
4535,1903
4818,2443
4829,2710
4829,3158
4890,3462
4902,3161
4963,3461
5087,3589
4782,2702
5140,3458
5194,3455
5312,3676
5479,3756
72,1894
5484,2093
5490,1895
86,1678
88,1594
5491,1798
92,1593
5492,1797
6,1350
960,880
960,1502
1136,1767
972,962
5494,1982
1133,1344
5496,1766
5498,2179
5497,2375
5499,2487
5502,2769
5509,3149
5528,3451
5518,3672
145,1860
5530,2033
150,1406
5532,1648
30,1859
4588,2032
5535,2243
5541,2440
4534,2439
4535,1898
5552,2438
5563,2697
5563,3152
5624,3671
5634,3155
5695,3670
5826,3753
5518,3447
5881,3667
5937,3664
6056,3803
6216,3845
72,1889
6221,2088
6227,1890
86,1677
88,1591
6228,1796
92,1590
6229,1795
6,1349
1133,867
1138,861
6231,1343
6232,1592
6235,1989
6242,2287
6261,2688
6251,3148
145,1858
6263,2031
150,1405
6265,1647
30,1857
4597,2030
6268,2242
6274,2437
171,1322
184,2436
186,1893
6287,2435
6300,2692
6300,3142
6368,3446
6378,3145
6431,3445
6538,3578
6251,2684
6593,3442
6647,3439
6764,3663
6907,3743
9519,3936
5239,3673
10872,3935
5984,3800
11584,3895
6690,3662
6764,3766
15185,3996
15589,4091
15589,4167
23574,4283
1765,3658
25071,3931
2274,3654
25603,3930
2816,3786
25890,3894
597,3643
673,3765
27596,3992
36394,4310
36394,4465
36394,4563
45876,4562
4515,1917
4515,2304
45885,2719
4606,3171
45933,3470
45981,3469
46082,3594
46138,3680
46274,3762
47686,3932
48037,4056
4510,2728
4572,3193
4902,3192
5634,3191
6378,3190
426,917
48098,3383
598,1459
48156,3194
48174,3471
48197,3605
48607,4094
48607,4174
56236,4284
56237,330
66814,4608
97043,4644
97043,4722
4510,1913
97048,3178
97048,3502
97053,3687
1905,3858
1905,3962
97177,4047
97184,4046
97232,4086
97280,4119
97280,4213
97285,3175
97285,3496
97290,3685
2370,3855
2370,3956
97379,4044
97386,4043
97430,4085
97472,4116
97472,4203
97476,3682
97476,3821
97480,3898
2949,3937
2949,4059
97573,4114
97580,4113
97608,4154
97644,4197
97644,4305
102125,4443
104003,4549
104003,4656
110741,4706
126,3490
131,3703
737,3950
839,4058
846,4057
882,4098
918,4139
900,4239
97472,4200
117612,4448
117635,3812
117635,3913
118035,4447
118055,3809
118207,4446
118210,1912
118224,3912
118238,3947
123695,4503
123695,4616
127419,4670
121964,4669
130993,4705
138151,4740
138151,4844
151369,4897
134594,4896
156742,4924
163692,4946
97280,4209
164643,4317
165669,4387
165669,4531
166729,4596
97472,4356
97452,4452
167892,4322
168714,4421
174687,4509
175675,4508
180444,4552
186348,4593
186348,4691
197216,4748
183818,4747
202540,4786
211644,4818
214003,4316
215051,4435
216101,4507
97644,4353
97626,4484
218800,4326
218907,4325
218923,3920
220936,4416
227881,4527
220212,4526
233033,4572
242308,4619
258332,4674
238651,4673
264680,4708
278136,4743
293385,4982
104003,4659
110741,4707
138151,4847
151369,4899
134594,4898
156742,4925
163692,4949
160217,4968
298259,4981
300627,5007
300631,5030
300634,2121
300651,4985
300671,5080
300671,5139
302443,5182
29,2732
44,2635
98,679
302448,2899
32,2231
97476,3824
97480,3899
2949,4062
97573,4106
97580,4115
97608,4147
97644,4190
97626,4252
302462,4303
39,2634
945,3063
302465,3286
957,3062
302467,3285
968,3061
302470,3284
978,3060
302472,3283
992,3059
302475,3282
1002,3058
302477,3281
1009,3057
302479,3280
1016,3056
302483,3279
302556,3399
30,1369
302559,3540
31,1842
945,2999
302561,3222
957,2998
302564,3221
968,2997
302566,3220
978,2996
302570,3219
992,2995
302572,3218
1002,2994
302574,3217
1009,2993
45,655
302576,3216
1016,2992
302580,3215
302653,3391
302656,3539
302659,3635
302666,3714
302712,4376
302721,4472
12,2731
308722,4916
316367,4951
278136,4850
338210,4969
272774,4902
352504,4950
370178,4983
370181,5010
300634,2122
370197,4831
370217,5050
370217,5117
379399,5212
379416,5159
391680,5183
402200,5228
397392,5253
29,2734
44,2637
97,686
402204,2900
32,2232
97285,3499
97290,3686
2370,3959
97379,4030
97386,4045
97430,4076
97472,4107
97452,4148
402218,4191
39,2636
945,3071
402222,3294
957,3070
402224,3293
968,3069
402227,3292
978,3068
402229,3291
992,3067
402232,3290
1002,3066
402234,3289
1009,3065
402236,3288
1016,3064
402240,3287
402284,3400
402287,3542
31,1843
945,3007
402289,3230
957,3006
402292,3229
968,3005
402294,3228
978,3004
402296,3227
992,3003
402298,3226
1002,3002
402300,3225
1009,3001
